-2.5 -2.5 2.5
-2.5 2.5 2.5

-2.5 2.5 -2.5
-2.5 2.5 -2.5


-2.5 2.5 -2.5
-2.5 -2.5 -2.5

-2.5 -2.5 2.5
-2.5 -2.5 2.5


-2.5 -2.5 -2.5
-2.5 2.5 -2.5

2.5 2.5 -2.5
2.5 2.5 -2.5


2.5 2.5 -2.5
2.5 -2.5 -2.5

-2.5 -2.5 -2.5
-2.5 -2.5 -2.5


2.5 -2.5 -2.5
2.5 2.5 -2.5

2.5 2.5 2.5
2.5 2.5 2.5


2.5 2.5 2.5
2.5 -2.5 2.5

2.5 -2.5 -2.5
2.5 -2.5 -2.5


2.5 -2.5 2.5
2.5 2.5 2.5

-2.5 2.5 2.5
-2.5 2.5 2.5


-2.5 2.5 2.5
-2.5 -2.5 2.5

2.5 -2.5 2.5
2.5 -2.5 2.5


2.5 -2.5 2.5
-2.5 -2.5 2.5

-2.5 -2.5 -2.5
-2.5 -2.5 -2.5


-2.5 -2.5 -2.5
2.5 -2.5 -2.5

2.5 -2.5 2.5
2.5 -2.5 2.5


2.5 2.5 -2.5
-2.5 2.5 -2.5

-2.5 2.5 2.5
-2.5 2.5 2.5


-2.5 2.5 2.5
2.5 2.5 2.5

2.5 2.5 -2.5
2.5 2.5 -2.5


-4.518 -2.5 1
-4.518 2.5 1

-4.518 2.5 -1
-4.518 2.5 -1


-4.518 2.5 -1
-4.518 -2.5 -1

-4.518 -2.5 1
-4.518 -2.5 1


-4.518 -2.5 -1
-4.518 2.5 -1

-2.5 2.5 -1
-2.5 2.5 -1


-2.5 2.5 -1
-2.5 -2.5 -1

-4.518 -2.5 -1
-4.518 -2.5 -1


-2.5 -2.5 -1
-2.5 2.5 -1

-2.5 2.5 1
-2.5 2.5 1


-2.5 2.5 1
-2.5 -2.5 1

-2.5 -2.5 -1
-2.5 -2.5 -1


-2.5 -2.5 1
-2.5 2.5 1

-4.518 2.5 1
-4.518 2.5 1


-4.518 2.5 1
-4.518 -2.5 1

-2.5 -2.5 1
-2.5 -2.5 1


-2.5 -2.5 1
-4.518 -2.5 1

-4.518 -2.5 -1
-4.518 -2.5 -1


-4.518 -2.5 -1
-2.5 -2.5 -1

-2.5 -2.5 1
-2.5 -2.5 1


-2.5 2.5 -1
-4.518 2.5 -1

-4.518 2.5 1
-4.518 2.5 1


-4.518 2.5 1
-2.5 2.5 1

-2.5 2.5 -1
-2.5 2.5 -1


